title,image,url
Baode Zhou cheng tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003288.gif,https://www.loc.gov/resource/g7823b.ct003288/
"A new map of the United States with the additional territories : on an improved plan, exhibiting a view of the Rocky Mountains surveyed by a company of Winebago [i.e. Winnebago] Indians in 1828.",https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701a/ct003947.gif,https://www.loc.gov/resource/g3701a.ct003947/
World War 2 in the North Sea area / Training Aids.,https://tile.loc.gov/storage-services/service/gmd/gmd9/g9112/g9112n/ct002339.gif,https://www.loc.gov/resource/g9112n.ct002339/
[Maps of Maine--counties Kennebec 1890--L],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:39:me-039:me-039-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.me-039/
"A map of Chicago's gangland : from authentic sources, designed to inculcate the most important principles of piety and virtue in young persons and graphically portray the evils and sin of large cities.",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/ct003853.gif,https://www.loc.gov/resource/g4104c.ct003853/
A Troubled Europe. Map of the Conflagration.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:18:96:5:wdl_18965:cart163097/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_18965/
[Maps of California--various subjects Physical 1941-1963],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.ca-053/
[Maps of California--various subjects Physical 1941-1963],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:53:ca-053:ca-053-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-053/
Genji shinsen kōto saikenzu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011896.gif,https://www.loc.gov/resource/g7964k.ct011896/
Map showing the British advance upon Dongola.,https://tile.loc.gov/storage-services/service/gmd/gmd8/g8314/g8314d/ct011331.gif,https://www.loc.gov/resource/g8314d.ct011331/
"Bellefontaine Cemetery, St. Louis, Mo.",https://tile.loc.gov/storage-services/service/gmd/gmd416/g4164/g4164s/ct003087.gif,https://www.loc.gov/resource/g4164s.ct003087/
"A cockeyed hysterical map of the Grand Coulee Dam, Grand Coulee and Dry Falls State Park : which combined should make a pretty good souvenir --- don't you think?",https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003339.gif,https://www.loc.gov/resource/g4282g.ct003339/
[Maps of Kansas--various subjects Geology-I],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:09:ks-009:ks-009-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ks-009/
"[Aihun, Luosha, Taiwan, Nei Menggu tu]",https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,https://www.loc.gov/resource/g7801r.ct002202a/
"[Aihun, Luosha, Taiwan, Nei Menggu tu]",https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202b.gif,https://www.loc.gov/resource/g7801r.ct002202b/
"[Aihun, Luosha, Taiwan, Nei Menggu tu]",https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202c.gif,https://www.loc.gov/resource/g7801r.ct002202c/
"[Aihun, Luosha, Taiwan, Nei Menggu tu]",https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202d.gif,https://www.loc.gov/resource/g7801r.ct002202d/
Shandong tong sheng Yunhe qing xing quan tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822gm/gct00247/ca000001.gif,https://www.loc.gov/resource/g7822gm.gct00247/
[Huang He nan he tu].,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003437.gif,https://www.loc.gov/resource/g7822y.ct003437/
"[Sichuan, Hubei shui dao tu].",https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822ym/gct00273/ca000001.gif,https://www.loc.gov/resource/g7822ym.gct00273/
Xin'an Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823x/ct003373.gif,https://www.loc.gov/resource/g7823x.ct003373/
"Cempoala, Mexico.",https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:43:8:wdl_00438:txu-oclc-34022876-jgi-25-10-map/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_00438/
[Maps of California--various subjects parks Yosemite 1896-1931],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:49:ca-049:ca-049-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-049/
"Serii︠a︡ plakatov ""Grazhdanskai︠a︡"" voĭna v 10 listov : [Sovetskiĭ Soi︠u︡z i Vostochnai︠a︡ Evropa]",https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7001m/g7001sm/gct00411/cs000001.gif,https://www.loc.gov/resource/g7001sm.gct00411/
Anlanyuan zhi Jianshan qi zuo dao li tu shuo : di san zhan.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824h/ct003399.gif,https://www.loc.gov/resource/g7824h.ct003399/
[Maps of California--various subjects Pi-Por],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.ca-054/
[Maps of California--various subjects Pi-Por],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:54:ca-054:ca-054-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-054/
[Suruga no Kuni zu] : D. Copy of reduced map of Inō (71 years ago).,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7963/g7963s/ct001265.gif,https://www.loc.gov/resource/g7963s.ct001265/
Zhaotong Fu yu tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822z/ct003289.gif,https://www.loc.gov/resource/g7822z.ct003289/
Laizhou Fu Changyi Xian cheng yuan tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824c/ct003297.gif,https://www.loc.gov/resource/g7824c.ct003297/
"Culhuacán, Mexico.",https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:7:wdl_00457:txu-oclc-34022876-jgi-23-14-map/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_00457/
"William Gropper's America, its folklore.",https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701a/ct003098.gif,https://www.loc.gov/resource/g3701a.ct003098/
Oedo ōezu,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011888.gif,https://www.loc.gov/resource/g7964t.ct011888/
"A hysterical map of the Grand Coulee Dam (to be the world's largest concrete example), also the Grand Coulee & Dry Falls : a land of game & scenic splendor",https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003337.gif,https://www.loc.gov/resource/g4282g.ct003337/
Yongning Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823l/ct003378.gif,https://www.loc.gov/resource/g7823l.ct003378/
"Cholula, Tlaxcala, Mexico.",https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:2:wdl_00502:txu-oclc-34022876-jgi-20-10-map/full/pct:6.25/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_00502/
Yiyang Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823y/ct003377.gif,https://www.loc.gov/resource/g7823y.ct003377/
[Maps of Kansas--various subjects Physical--Postal service 1858-1892],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:13:ks-013:ks-013-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ks-013/
Tōkaidō bunken ezu,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7964m/g7964tm/gct00271a/ca000001.gif,https://www.loc.gov/resource/g7964tm.gct00271a/
Tōkaidō bunken ezu,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7964m/g7964tm/gct00271b/ca000001.gif,https://www.loc.gov/resource/g7964tm.gct00271b/
[Maps of California--various subjects parks Yosemite 1932-1965],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:50:ca-050:ca-050-01-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.ca-050/
[Maps of California--various subjects parks Yosemite 1932-1965],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:50:ca-050:ca-050-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-050/
Lloyd's Baltimore elevated building map : of the five hundred million business district of Baltimore,https://tile.loc.gov/storage-services/service/gmd/gmd384/g3844/g3844b/ct003394r.gif,https://www.loc.gov/resource/g3844b.ct003394r/
Lloyd's Baltimore elevated building map : of the five hundred million business district of Baltimore,https://tile.loc.gov/storage-services/service/gmd/gmd384/g3844/g3844b/ct003394v.gif,https://www.loc.gov/resource/g3844b.ct003394v/
"Paul Sample's America, its soil",https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701j/ct003099.gif,https://www.loc.gov/resource/g3701j.ct003099/
Saiken Kyō ezu taizen,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011902.gif,https://www.loc.gov/resource/g7964k.ct011902/
Xiang xing Zhonghua Minguo ren wu yu di quan tu = Map of China,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7821/g7821a/ct007520.gif,https://www.loc.gov/resource/g7821a.ct007520/
Yanshi Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823y/ct003376.gif,https://www.loc.gov/resource/g7823y.ct003376/
Henan Fu he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823h/ct003305a.gif,https://www.loc.gov/resource/g7823h.ct003305a/
Henan Fu he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823h/ct003305b.gif,https://www.loc.gov/resource/g7823h.ct003305b/
Luoyang Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824l/ct003306.gif,https://www.loc.gov/resource/g7824l.ct003306/
"Tourist map of Baku : [Baku, panoramnyĭ plan 1970g.].",https://tile.loc.gov/storage-services/service/gmd/gmd7/g7144/g7144b/ct002932.gif,https://www.loc.gov/resource/g7144b.ct002932/
[Maps of Pennsylvania--Philadelphia subjects Pe-Pz],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:60:pa-160:pa-160-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-160/
[Hmong hand-stitched story cloth maps of mainland Southeast Asia],https://tile.loc.gov/storage-services/service/gmd/gmd8/g8001/g8001e/ct007688a.gif,https://www.loc.gov/resource/g8001e.ct007688a/
[Hmong hand-stitched story cloth maps of mainland Southeast Asia],https://tile.loc.gov/storage-services/service/gmd/gmd8/g8001/g8001e/ct007688b.gif,https://www.loc.gov/resource/g8001e.ct007688b/
[Hmong hand-stitched story cloth maps of mainland Southeast Asia],https://tile.loc.gov/storage-services/service/gmd/gmd8/g8001/g8001e/ct007688c.gif,https://www.loc.gov/resource/g8001e.ct007688c/
[Hmong hand-stitched story cloth maps of mainland Southeast Asia],https://tile.loc.gov/storage-services/service/gmd/gmd8/g8001/g8001e/ct007688d.gif,https://www.loc.gov/resource/g8001e.ct007688d/
[Gansu yu tu],https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003390.gif,https://www.loc.gov/resource/g7823g.ct003390/
Orange County before 1810,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3803/g3803o/la000536.gif,https://www.loc.gov/resource/g3803o.la000536/
Kyōto ōezu,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011900.gif,https://www.loc.gov/resource/g7964k.ct011900/
Mengjin Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003371.gif,https://www.loc.gov/resource/g7823m.ct003371/
"A plan of Alfred, Maine",https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif,https://www.loc.gov/resource/g3734a.ct003779r/
"A plan of Alfred, Maine",https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779v.gif,https://www.loc.gov/resource/g3734a.ct003779v/
"A plan of Alfred, Maine",https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003780.gif,https://www.loc.gov/resource/g3734a.ct003780/
[Guangxi bian guan xing shi lüe tu],https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003302.gif,https://www.loc.gov/resource/g7823g.ct003302/
[Zhejiang Sheng yuan fang xiang quan tu].,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824h/ct003295.gif,https://www.loc.gov/resource/g7824h.ct003295/
"Bohrod's America, its history",https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701s/ct003097.gif,https://www.loc.gov/resource/g3701s.ct003097/
Mianchi Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003372.gif,https://www.loc.gov/resource/g7823m.ct003372/
War map : pictorial and propaganda map collection 1900-1950.,https://tile.loc.gov/storage-services/service/gmd/gmd3m/g3201m/g3201sm/gct00551/cs012900.gif,https://www.loc.gov/resource/g3201sm.gct00551/
"Muchitlan, Tlaxcala, Mexico.",https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:40:7:wdl_00407:txu-oclc-34022876-jgi-25-13-map/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_00407/
Song Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823s/ct003375.gif,https://www.loc.gov/resource/g7823s.ct003375/
[Maps of Maine--cities and towns Portland subjects A-Z],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:me:-0:61:me-061:me-061-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.me-061/
Bushū Toshima-gun Edo shōzu,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011915.gif,https://www.loc.gov/resource/g7964t.ct011915/
Stratford-upon-Avon,https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754s/ct003534.gif,https://www.loc.gov/resource/g5754s.ct003534/
"[Maps of California, from 1931-1949]",https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:12:ca-012:ca-012-08-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.ca-012/
"[Maps of California, from 1931-1949]",https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:12:ca-012:ca-012-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-012/
"Pictorial map of Washington, D.C.",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004633.gif,https://www.loc.gov/resource/g3851e.ct004633/
[Maps of Kansas--cities and towns Kansas City],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:58:ks-058:ks-058-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ks-058/
[Maps of Pennsylvania--Pittsburgh subjects Pl--Roads],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:84:pa-184:pa-184-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.pa-184/
Dengfeng Xian he tu.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823d/ct003307.gif,https://www.loc.gov/resource/g7823d.ct003307/
[Binzhou ting xiang she quan tu],https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003291.gif,https://www.loc.gov/resource/g7823b.ct003291/
[Shanxi sheng cheng jie dao ji fu jin tan miao cun zhuang tu],https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824t/ct003296.gif,https://www.loc.gov/resource/g7824t.ct003296/
[Maps of Kansas--cities and towns Hut-J],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:57:ks-057:ks-057-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ks-057/
[Qiantang Jiang yan an tu],https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822q/ct003369.gif,https://www.loc.gov/resource/g7822q.ct003369/
Sesshū Ōsaka zenzu,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011894.gif,https://www.loc.gov/resource/g7964o.ct011894/
Sesshū Ōsaka zenzu,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011916.gif,https://www.loc.gov/resource/g7964o.ct011916/
[Maps of California--various subjects mines & minerals-minerals],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:33:ca-033:ca-033-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.ca-033/
"Jarvis' Pictorial map of Washington, D.C.",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/ct004532.gif,https://www.loc.gov/resource/g3851a.ct004532/
"White Mountain National Forest, New Hampshire, Maine",https://tile.loc.gov/storage-services/service/gmd/gmd374/g3742/g3742w/ct005513.gif,https://www.loc.gov/resource/g3742w.ct005513/
Chōroku Edo zu utsushi.,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct002120.gif,https://www.loc.gov/resource/g7964t.ct002120/
"New zoo map, National Zoological Park, Washington, D.C. Nuevo mapa del zoologico.",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3852/g3852n/ct005167.gif,https://www.loc.gov/resource/g3852n.ct005167/
Here took place the adventures of Robin Hood and his merry men : from tales of Sherwood Forest,https://tile.loc.gov/storage-services/service/gmd/gmd5/g5752/g5752s/ct003531.gif,https://www.loc.gov/resource/g5752s.ct003531/
Humorous Map of Europe.,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:18:96:7:wdl_18967:cart175741/full/pct:3.125/0/default.jpg,https://www.loc.gov/resource/gdcwdl.wdl_18967/
"Esso pictorial guide to Washington, D.C., and vicinity : 1942.",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3850/g3850/ct001035r.gif,https://www.loc.gov/resource/g3850.ct001035r/
"Esso pictorial guide to Washington, D.C., and vicinity : 1942.",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3850/g3850/ct001035v.gif,https://www.loc.gov/resource/g3850.ct001035v/
"[Map and views illustrating Sir Francis Drake's West Indian voyage, 1585-6].",https://tile.loc.gov/storage-services/service/gmd/gmd3m/g3291m/g3291sm/grb00002/ca000001r.gif,https://www.loc.gov/resource/g3291sm.grb00002/
"[Map and views illustrating Sir Francis Drake's West Indian voyage, 1585-6].",https://tile.loc.gov/storage-services/service/gmd/gmd393/g3934/g3934s/ct000068.gif,https://www.loc.gov/resource/g3934s.ct000068/
[Maps of Hawaii--islands I-K],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:hi:-0:12:hi-012:hi-012-02-01/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolmaps.hi-012/
[Maps of Hawaii--islands I-K],https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:hi:-0:12:hi-012:hi-012-00001/full/pct:12.5/0/default.jpg,https://www.loc.gov/resource/gmdtitlecolfold.hi-012/
"Bartlett's illustrated map of New York City : or stranger's guide showing the public buildings, places of amusement & its' [thus] various architectural features",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct011181.gif,https://www.loc.gov/resource/g3804n.ct011181/
